Category,Variant,var1
Immunitás & Tisztulás,v1,#83d310
Immunitás & Tisztulás,v2,#74bb0e
Immunitás & Tisztulás,v3,#65a30d
Immunitás & Tisztulás,v4,#558a0b
Immunitás & Tisztulás,v5,#467209
Spirituális & Meditatív,v1,#a14bff
Spirituális & Meditatív,v2,#8e42ff
Spirituális & Meditatív,v3,#7c3aed
Spirituális & Meditatív,v4,#6931c9
Spirituális & Meditatív,v5,#5628a5
Élmény & Szezonális,v1,#02abff
Élmény & Szezonális,v2,#0297e4
Élmény & Szezonális,v3,#0284c7
Élmény & Szezonális,v4,#0170a9
Élmény & Szezonális,v5,#015c8b
Különleges Tradíciók,v1,#ea6b0b
Különleges Tradíciók,v2,#ce5f0a
Különleges Tradíciók,v3,#b45309
Különleges Tradíciók,v4,#994607
Különleges Tradíciók,v5,#7d3a06
Nyugalom & Álmodás,v1,#12d6ff
Nyugalom & Álmodás,v2,#10bdff
Nyugalom & Álmodás,v3,#0ea5e9
Nyugalom & Álmodás,v4,#0b8cc6
Nyugalom & Álmodás,v5,#0973a3
Energia & Fókusz,v1,#ff3131
Energia & Fókusz,v2,#fc2b2b
Energia & Fókusz,v3,#dc2626
Energia & Fókusz,v4,#bb2020
Energia & Fókusz,v5,#9a1a1a
Gyümölcs & Virág,v1,#ff255d
Gyümölcs & Virág,v2,#ff2152
Gyümölcs & Virág,v3,#e11d48
Gyümölcs & Virág,v4,#bf183d
Gyümölcs & Virág,v5,#9d1432
